#Selection name: Selection 1
#Area (µm^2): 14173711.3
X,Y
6698.666917977773,2909.488870900017
7093.583355776398,2598.1550000234224
7093.583355776398,2598.1550000234224
7128.599112118319,2770.230293409361
7201.351691371149,3126.9648669715602
7302.827168573023,3472.8047942851963
7340.297896561169,3892.6275438549987
7315.153494168323,4862.968575583503
7199.813076681619,5801.489368786978
7043.767272243173,6624.14544776239
6808.317921104083,6997.44213261647
6513.724567298547,7132.196666993488
6026.771507388505,7283.675932233226
5688.082732452672,7312.059102328826
5261.183652807607,7302.672147101403
5017.733505282961,7276.283661741745
4890.1389895103475,7259.814970203326
4754.609417178687,7228.601527576937
4596.925955812087,7165.008625401326
4454.4309893623995,7093.394599393805
4348.167749795635,7016.570692135382
4241.621655975336,6928.577069354318
4140.317448321473,6849.553472900969
4034.518280030005,6771.128454867947
3912.7374139149206,6679.795940898359
3813.1052468484722,6601.291343075351
3706.7356125624874,6511.229510752379
3607.1873502746107,6434.336403676578
3513.4726325917595,6347.677472373206
3438.4046706993227,6248.572088916552
3419.6843901029447,6101.284602614531
3447.6402513262306,5968.871617058064
3418.3120712245523,5854.255527034828
3395.6361560672626,5742.780243722871
3464.26810244462,5648.07380615721
3557.6835309173084,5562.7573513109855
3665.8938803455667,5487.545799797487
3755.524078807638,5414.113116089481
3812.735027825496,5304.264893483641
3846.9076276425435,5201.744931538206
3883.649270679776,5082.180622073534
3924.760017186756,4977.56823065011
3995.7689772910726,4839.91508892264
4027.10827708532,4733.946813577452
4023.4242518076207,4584.9557142713375
3940.0618268046264,4395.931223115057
3818.7882818506996,4382.8870575391675
3674.6446297519647,4362.387476638439
3549.845786601451,4334.787561975794
3434.8503950792087,4286.507714388377
3334.9652161804693,4214.476759481149
3367.1076663551676,4101.301755654827
3407.407910001101,3984.1291648783053
3461.0585284148237,3881.477290780993
3535.8111986393283,3791.750645073449
3673.4193604855027,3703.185258801293
3801.7473943223313,3656.320547479271
3928.928873684966,3623.375379422979
4064.3092339104032,3583.623976828631
4165.106552901967,3543.8470568016246
4261.956454810932,3441.561941736419
4362.8571410297045,3390.3021770131313
4487.670256642553,3319.804430559701
4682.344047890089,3257.201518271465
4809.897476271134,3206.9633158522306
4920.881440879703,3165.701194744733
5057.312340832722,3134.50764706584
5170.38873491928,3101.6974186534367
5360.608436671349,3059.6905345114005
5510.26709796574,3037.5119930415203
5656.959465838305,3028.881910816677
5777.561340064799,3018.6325528651705
5907.677756682009,3013.196474711214
6043.989935698337,2988.449322520007
6171.730419835734,2977.709510862829
6290.911535311672,2958.186512384858
6424.483401559803,2943.077597257931
6570.053218644827,2911.1085791255377
6698.666917977773,2909.488870900017
