#Selection name: Selection 5
#Area (µm^2): 3961771.1
X,Y
3511.975646016811,5488.918535364086
3492.9467653560428,5499.751008617964
3460.297039567697,5526.148767273807
3402.105983627574,5561.471659095132
3332.0877789206443,5588.3458622448015
3272.0358557566865,5627.38580217451
3206.837551002867,5634.9772812855535
3196.6627273617783,5566.421604963359
3195.7305363726296,5550.118221124236
3177.306193479437,5443.921477148464
3163.1046328089765,5322.785855121625
3157.3228617179225,5234.714699909722
3157.3228617179225,5178.536426691874
3160.145990607975,5114.71356251777
3162.9687289697536,5053.591591884073
3167.9405444213044,4993.932149635109
3171.8430934596627,4926.376420957538
3171.8430934596627,4860.498597007606
3168.8723448821797,4755.178784270265
3178.7035036424754,4695.64997372883
3246.909657159774,4693.138486401133
3312.648453044294,4691.83763672168
3417.1784223482236,4691.83763672168
3499.9965817515636,4691.83763672168
3584.3569373074597,4688.303941637763
3642.713577235601,4682.295468883868
3722.134531186657,4678.023870626933
3814.882262475248,4674.638966815267
3880.49960406667,4676.6175783136005
3977.847758418592,4671.609443732603
4141.51347155655,4663.556164937994
4231.854377094775,4651.460918511344
4306.364438004966,4643.54412934837
4450.111256546559,4637.523940746266
4541.596019398239,4630.717228201078
4671.112378177123,4632.82822878417
4736.363013719609,4632.82822878417
4789.50766330792,4631.8962330591585
4857.655237584174,4628.925484481676
5314.487010979754,4619.903109776062
5377.817809529089,4618.123081904868
5504.652801181246,4621.765929641264
5605.552419653536,4619.985901770071
5717.080265092594,4644.352327610642
5745.9891205478625,4728.796646745366
5754.473737820691,4784.973748378394
5758.007237640471,4861.647335924481
5760.401957014355,4917.473547903654
5753.760633193047,5001.298684460543
5749.126624698185,5088.322052314304
5753.619652486268,5151.061200529092
5763.898356648141,5229.777250946251
5779.15707735531,5347.198558562621
5787.440182038948,5427.487266337677
5794.533347072842,5518.903686741472
5799.63520843951,5638.447515525006
5801.4980283047125,5709.792344777448
5799.717609905246,5843.702537162913
5803.366315565747,5962.926913818621
5807.12515019941,6055.814844757445
5812.807336580689,6124.167836905627
5811.2545961647465,6314.365259897282
5802.1017850157405,6413.102523318496
5773.463565654097,6492.140759561397
5742.526306345608,6546.27383621026
5701.33650826958,6596.571144155552
5638.248618306442,6611.48619998193
5586.697324074531,6603.004316407016
5530.449536823978,6592.302279596531
5438.072416867059,6562.000019260961
5351.271650129266,6522.493788572539
5299.375128903469,6467.519123494011
5256.814967115281,6428.5787682740765
5205.809631409902,6404.743265621501
5119.121727343188,6378.6403558122465
5043.8563847518,6342.160719244438
4969.690769778948,6329.3385044364295
4862.768033742504,6303.547236189531
4797.479907485749,6280.813023268584
4733.682037121157,6306.72965109132
4674.839970548897,6347.1419073745565
4616.300563388697,6375.644613425252
4551.456077250783,6393.290242940832
4478.601465692499,6396.287156912648
4414.708696957415,6377.317636549472
4350.711657173273,6332.714230833665
4309.318003338411,6302.49320037901
4267.708387368232,6276.086850101146
4213.582340228297,6232.006752272
4179.114705326217,6196.465945673993
4133.586919186735,6125.542105900522
4079.289039606402,6115.17318970744
4027.6752608507118,6113.8516420294845
3979.032230672504,6113.8516420294845
3908.1958692323255,6094.470895394179
3862.1947628252074,6064.9746854153755
3797.7048763597472,6006.823853887435
3765.0383578556366,5966.5592172916295
3719.053263107737,5896.216874117589
3688.6346253466254,5809.225139053993
3681.230599806924,5758.6068168677775
3696.278825774608,5693.270265105094
3719.3133549379727,5638.824375309057
3733.558264246806,5590.478146618806
3721.4663373104804,5510.003937913777
3715.9067768071213,5446.603234803465
3692.9128625842136,5397.740727735478
3628.3729884997297,5392.627931577148
3574.365661954976,5415.899120874331
3511.975646016811,5488.918535364086
